date,close,open
1-Jul-17,21891.12 ,21392.30 
1-Aug-17,21948.10 ,21961.42 
1-Sep-17,22405.09 ,21981.77 
1-Oct-17,23377.24 ,22423.47 
1-Nov-17,24272.35 ,23442.90 
1-Dec-17,24719.22 ,24305.40 
1-Jan-18,26149.39 ,24809.35 
1-Feb-18,25029.20 ,26083.04 
1-Mar-18,24103.11 ,25024.04 
1-Apr-18,24163.15 ,24076.60 
1-May-18,24415.84 ,24117.29 
1-Jun-18,24271.41 ,24542.09 
1-Jul-18,25415.19 ,24161.53 
1-Aug-18,25964.82 ,25461.63 
1-Sep-18,26458.31 ,25916.07 
1-Oct-18,25115.76 ,26598.36 
1-Nov-18,25538.46 ,25142.08 
1-Dec-18,23327.46 ,25779.57 
1-Jan-19,24999.67 ,23058.61 
1-Feb-19,25916.00 ,25025.31 
1-Mar-19,25928.68 ,26019.67 
1-Apr-19,26592.91 ,26075.10 
1-May-19,24815.04 ,26639.06 
1-Jun-19,26599.96 ,24830.16 
1-Jul-19,26864.27 ,26805.86 
1-Aug-19,26403.28 ,26879.86 
1-Sep-19,26916.83 ,26198.26 
1-Oct-19,27046.23 ,26962.54 
1-Nov-19,28051.41 ,27142.95 
1-Dec-19,28538.44 ,28109.74 
1-Jan-20,28256.03 ,28638.97 
1-Feb-20,25409.36 ,28319.65 
1-Mar-20,21917.16 ,25590.51 
1-Apr-20,24345.72 ,21227.38 
1-May-20,25383.11 ,24120.78 
1-Jun-20,25812.88 ,25342.99 
1-Jul-20,26428.32 ,25879.38 
1-Aug-20,27844.91 ,26542.32 
